ToI,Name,Class_flag,Class,Carbon,Additional,ctp,Phot_status,Other_Name,Comments,Vmax,Av,Distance,Mv_calc,RV,Temperature,Type,RA,Dec,Location,Abundances,Inst/Res,Folder,Spectra_Type,Bluefile,Redfile,Alt_Bluefile,Alt_Redfile,Textfile,Extra_Monfile,RA_deg,Dec_deg,Gaia_RV,gaia_rv_err,known_RV,My_RV,parallax,p_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err
177,J173553.02-364104.3,6,HdC6:,C2 5.5,,,unknown,2MASS_J17355307-3641040,,,4.781,,,,,Cool,17:35:53.02,-36:41:04.3,Galactic,,WiFeS/3000,WISE_263.9709509_-36.6845538,normal,WISE_J173553.02-364104.3_July2013_Blue_1027_unsmooth.fits,WISE_J173553.02-364104.3_July2013_Red_1027_unsmooth.fits,,,,,263.9709509,-36.6845538,,,,-186.03,,,,,,
1227,J173819.81-203632.1,6,HdC6,C2 5.5,,,max,IRAS_17353-2034,,,2.94,,,,,Cool,17:38:19.81,-20:36:32.1,Galactic,,WiFeS/3000,WISE_264.5825530_-20.6089300,picky,WISE_J173819.81-203632.1__T2m3wb-20220716.155420-0233.spectrum.p11.fits,WISE_J173819.81-203632.1__T2m3wr-20220716.155420-0233.spectrum.p11.fits,,,,,264.582553,-20.60893,,,,-47.18,,,,,,
,J174111.80-281955.3,1,HdC1:,-,H0.5,ctp,max,GLIMPSE-WISE-9,check reddening,,7.58,,,,,Warm,17:41:11.80,-28:19:55.3,Galactic,,WiFeS/3000,J174111.80-281955.3,picky,WISE_J174111.80-281955.3__T2m3wb-20220715.142017-0146.spectrum.p11.fits,WISE_J174111.80-281955.3__T2m3wr-20220715.142017-0146.spectrum.p11.fits,,,,,265.2991667,-28.3320278,101.41,9.33,,,,,,,,
,J174119.57-250621.2,3,HdC3,C2 2,,,max,GLIMPSE-WISE-20_129,,,4.65,11.44,,,,Warm/Cool,17:41:19.57,-25:06:21.2,Galactic,,WiFeS/3000,J174119.57-250621.2,normal,WISE_J174119.57-250621.2_T2m3wb_July2011_0129_unsmooth.fits,WISE_J174119.57-250621.2_T2m3wr_July2011_0129_unsmooth.fits,,,,,265.3315417,-25.1058889,120.38,4.23,,,0.087,0.023,-6.432,0.027,-10.3,0.015
182,J174138.87-161546.4,6,HdC6:,C2 5.5,Li:,,unknown,IRAS_17387-1614,,,1.49,,,,,Cool,17:41:38.87,-16:15:46.4,Galactic,,WiFeS/3000,WISE_265.4119947_-16.2629104,normal,WISE_J174138.87-161546.4_July2013_Blue_3006_unsmooth.fits,WISE_J174138.87-161546.4_July2013_Red_3006_unsmooth.fits,,,,,265.4119947,-16.2629104,,,,6.27,,,,,,
184,J174257.19-362052.1,,,,,,2 decline,,,,3.328,,,,,Cool,17:42:57.19,-36:20:52.1,Galactic,,WiFeS/3000,WISE_265.7383240_-36.3478071,normal,WISE_J174257.19-362052.1_Aug2012_Blue_317_unsmooth.fits,WISE_J174257.19-362052.1_Aug2012_Red_317_unsmooth.fits,,,,,265.738324,-36.3478071,,,,-90.81,,,,,,
186,J174328.50-375029.0,6,HdC6,C2 5.5,Li:,,max,IRAS_17400-3749,,,2.108,,,,,Cool,17:43:28.50,-37:50:29.0,Galactic,,WiFeS/3000,WISE_265.8687545_-37.8414030,normal,WISE_J174328.50-375029.0_Aug2012_Blue_203_unsmooth.fits,WISE_J174328.50-375029.0_Aug2012_Red_203_unsmooth.fits,,,,,265.8687545,-37.841403,5.28,152,,-34.3,,,,,,
188,J174645.90-250314.1,3,HdC3:,C2 3,,ctp,max,"2MASS_J17464591-2503140, GLIMPSE-RCB-Cand-1",,,8.14,,,,,Warm,17:46:45.90,-25:03:14.1,Galactic,,WiFeS/3000,WISE_266.6912800_-25.0539209,picky,WISE_J174645.90-250314.1_T2m3wb_July2011_0405_unsmooth.fits,WISE_J174645.90-250314.1_T2m3wr_July2011_0405_unsmooth.fits,,,,,266.69128,-25.0539209,,,,32.21,,,,,,
190,J174851.29-330617.0,2,HdC2,C2 2.5,,,max,,,,4.096,9.273,,,,Warm/Cool,17:48:51.29,-33:06:17.0,Galactic,,WiFeS/3000,WISE_267.2137403_-33.1047490,normal,WISE_J174851.29-330617.0_Aug2012_Blue_318_unsmooth.fits,WISE_J174851.29-330617.0_Aug2012_Red_318_unsmooth.fits,,,,,267.2137403,-33.104749,,,,-95.96,0.108,0.022,-5.906,0.023,-10.388,0.014
191,J175031.70-233945.7,2,HdC2:,C2 2.5,,ctp,unknown,,,,6.39,,,,,Warm/Cool,17:50:31.70,-23:39:45.7,Galactic,,WiFeS/3000,WISE_267.6321046_-23.6626990,normal,WISE_J175031.70-233945.7_July2012_Blue_307_unsmooth.fits,WISE_J175031.70-233945.7_July2012_Red_307_unsmooth.fits,,,,,267.6321046,-23.662699,94.01,2.41,,72.8,,,,,,
